time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,subject_number,foot
15.419,0.4525882925286925,1.0040504021851573,-0.044319603516671385,-2.776128583203289,0.37696372487489593,-0.41725301750450516,-0.12637329029954353,-0.011004050331942909,0.25619096972778577,4,left
15.42,0.47004758214681663,0.9955541714825149,-0.026707952121901798,-2.7102925318315094,0.4466744225207405,-0.48850023589806346,-0.09514115988982616,-0.0073184521279026265,0.21974471718468058,4,left
15.423,0.47661655938410963,0.986627842396626,-0.001106412411007918,-2.8194887125098935,0.33110022994597094,-0.3703738924752039,-0.11397859854576793,-0.00953737045006956,0.24172539345018912,4,left
15.424000000000001,0.4798499076665682,0.9812643264620153,0.0177379307503706,-2.6754642001969744,0.48354148412614906,-0.5261826570033163,-0.10631225975594383,-0.008644866425175611,0.2327839322147732,4,left
15.427999999999999,0.4805953189107411,0.9791779109427446,0.022289692410780323,-2.071123245276687,1.12345703013464,-1.1802154941905436,-0.1062082992844543,-0.008609742969649252,0.23265374162430913,4,left
15.429,0.47475854486723396,0.9691186834848527,0.0360751058998332,-1.9271430746552036,1.2759031989006213,-1.3360308438113058,-0.11022088826976038,-0.009114746922788186,0.2373484557254824,4,left
15.43,0.4624072530148583,0.956880461631867,0.05170787888519818,-2.0362733911327426,1.1603230569176302,-1.217894494938958,-0.10541305560540429,-0.00851653057725365,0.23172597160829525,4,left
15.433,0.4466643627824553,0.9484398402326445,0.06382142919661447,-1.9704824579726272,1.2300339713219133,-1.2891492074878927,-0.10915957275385049,-0.008971630792723798,0.23610297372015487,4,left
15.434000000000001,0.42938455653782526,0.9427092116329238,0.08035909968504407,-1.9972310397399542,1.2016699335928234,-1.2601559365830066,-0.10713251183087259,-0.008759539731249051,0.2337481910197533,4,left
15.439,0.41058658394469116,0.9410455657781038,0.0961192988689892,-1.9976081199349451,1.2012686430986173,-1.2597438350496315,-0.10761172262080715,-0.008729779442617422,0.23427350556605137,4,left
15.439,0.38977172867693627,0.9408760003973047,0.11286540804971003,-1.9836356655989444,1.2161440952883877,-1.2749581608786595,-0.10811790100634507,-0.008937883896416296,0.2349224352770633,4,left
15.444,0.3671120801211888,0.9449956628664389,0.12565250600662292,-2.000299144208599,1.1983226776683402,-1.2567224156552013,-0.10722686838773825,-0.008650782768207518,0.23381122456753675,4,left
