time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,subject_number,foot
0.7190000000000001,-0.11380576724461657,0.9872039406621953,-0.11939023732469214,-0.054100462222749224,0.006399728665493215,0.06869998666661356,0.004299856701419311,-0.020999426718797013,0.013500334443904038,3,right
0.725,-0.11341126749080174,0.9872737263700264,-0.11948962635294051,0.050127595956542315,0.06327824636325204,-0.0052704437826610485,0.00430024510988661,-0.021000980477754862,0.013499428041506204,3,right
0.726,-0.11279636422743028,0.9882620096295026,-0.11936727717199071,0.054975144797409746,0.0659235167276419,-0.008712453821214142,0.00429970091017245,-0.02099880371233777,0.013500697809839597,3,right
0.727,-0.11442363168861086,0.988586557903423,-0.1210754961568014,0.04894380506831206,0.06263225198961647,-0.004430047304540042,0.004300236230583981,-0.021000944688141423,0.01349944901242909,3,right
0.73,-0.116710446972181,0.9888691096134451,-0.1214970207588153,0.0543808267925641,0.06559922280927558,-0.00829008400513703,0.004300006707798093,-0.021000027236555485,0.013499983972651097,3,right
0.731,-0.11768610169435828,0.9879883516112339,-0.12244934373982229,0.05059661309565556,0.06353410873677849,-0.005604841467196868,0.0042995518214063305,-0.02099820678588722,0.013501046213371046,3,right
0.733,-0.1157317833660994,0.983931290884269,-0.12207953503186923,0.052504864728997555,0.06457565795039719,-0.006955670999302244,0.004301014568555913,-0.021004058676565997,0.013497632300344994,3,right
0.7340000000000001,-0.11416943563632603,0.9793661913023608,-0.11973234045551226,0.05210815232757672,0.06435876786009054,-0.00668126357314477,0.004298496651313207,-0.020993986599026966,0.013503507819382312,3,right
0.738,-0.1140758878397522,0.9773368314588073,-0.12014970480171207,0.051603282738644035,0.0640838143994442,-0.006312947999418417,0.004301585257165558,-0.021006340305664343,0.013496301736910906,3,right
0.7390000000000001,-0.1118952781858707,0.978035103129348,-0.11940669660770044,0.05243092256008692,0.06453491652965923,-0.0069101707230346835,0.004299123203631046,-0.020996494482670987,0.013502044311627596,3,right
0.743,-0.11161462901746612,0.9794490608931009,-0.12091671228732273,0.05167735176861712,0.06412392010277396,-0.0063711405579951995,0.004299102302119591,-0.020996406710789388,0.01350209694404786,3,right
0.743,-0.11482093362154752,0.983079456027449,-0.12656425361986606,0.05217442816207683,0.06439564858928487,-0.0067155486415925655,0.004303667633749926,-0.021014673201651946,0.013491439715593374,3,right
0.748,-0.11767081836000744,0.9889918286978749,-0.12590844191194805,0.05194738264780152,0.06427024244968,-0.006581314616511592,0.0042932329800280215,-0.020972930386361426,0.013515791135272247,3,right
0.7490000000000001,-0.12042935950458125,0.9914629418901704,-0.12166296564593847,0.05198211523279006,0.0642917863462662,-0.0065596656369716335,0.004308800877266043,-0.02103520213717523,0.013479465891572602,3,right
0.753,-0.12315960681841882,0.9921931033376774,-0.12122999286617557,0.052044852538329245,0.06432284624375603,-0.0066609738576211015,0.0042922035019265226,-0.020968819961859272,0.013518186308667024,3,right
0.754,-0.12178898617057447,0.990812651392709,-0.12182840785193348,0.0519464542971891,0.06427168083392987,-0.006545890127273203,0.004301796492075672,-0.021007174838345334,0.013495818503947012,3,right
0.757,-0.11739784261333908,0.9838754627088585,-0.12412502300682597,0.05207065491941051,0.06433948126075735,-0.0066336190870477495,0.004310056204847736,-0.02104023941294179,0.013476521992005787,3,right
0.758,-0.11598857780362379,0.9782377563425723,-0.1271424658225151,0.051889384166298465,0.06423586253841532,-0.006588951171832202,0.004273887569861792,-0.02089553723342778,0.013560941099009523,3,right
0.763,-0.11766763527411486,0.9754884004033655,-0.126569577791665,0.052166262928280346,0.06439769227125089,-0.006593563993116397,0.004340970967688691,-0.02116388702383455,0.013404398151895279,3,right
0.763,-0.12070438131971335,0.972301400677928,-0.12569089370008407,0.051794202715306,0.0641786422911792,-0.006615750831887698,0.004254824428015603,-0.02081931439275785,0.013605394203213677,3,right
0.768,-0.12652756708317803,0.9714220230262142,-0.12355909178499501,0.052178633091095085,0.06440549951006713,-0.006583473666982694,0.004326755711144074,-0.021106978843213404,0.013437610801679392,3,right
0.768,-0.13690226228068897,0.9734244451767804,-0.11969440156956077,0.05196739702329328,0.06428036362311962,-0.006609805075051354,0.004324781639142999,-0.021099196818814402,0.013442111033778986,3,right
0.773,-0.1493393754572923,0.9759757957449593,-0.11710387801918506,0.05174288565639398,0.06414934218278076,-0.006602537257757536,0.004187687393430475,-0.02055066919828602,0.013762137266747654,3,right
0.773,-0.16042768435158516,0.9787555729619715,-0.11324134466411115,0.0526519331434299,0.06468262918913872,-0.006582463255462882,0.004524704776528828,-0.021898874534583064,0.012975637465026217,3,right
0.778,-0.16909049829371814,0.9794030154767099,-0.10942613355925465,0.05098142967230176,0.06370201278225038,-0.006630449318782135,0.0039658687279196265,-0.01966349518043899,0.014279620844586921,3,right
0.778,-0.17234169199278,0.9785428636319177,-0.10726871168413059,0.05312174488607761,0.0649586096388763,-0.006565624753527081,0.0047030225589469,-0.022611942221757813,0.012559751254545722,3,right
0.782,-0.17282077406543406,0.979974805790108,-0.10778832936690119,0.05133700508966703,0.06391068925887944,-0.006621057319710641,0.007796939802940522,-0.03498806124185753,0.005340193775686784,3,right
0.7829999999999999,-0.17497286830489306,0.978720799845283,-0.10807594930020668,0.05138049943737737,0.06393642165083907,-0.00661655255414206,0.008534229170598161,-0.037936495811829896,0.0036205221336712713,3,right
0.7829999999999999,-0.17785040821811765,0.9755725578291179,-0.10350771179274598,0.05479778188833185,0.06594232478918283,-0.006519906994563847,0.00797518124539175,-0.035701135948262686,0.004924196075352379,3,right
0.787,-0.1796067483804949,0.9753207179054549,-0.09993081540469997,0.046405120545347386,0.061015672608773844,-0.006761302382569931,0.008312373919103347,-0.03704932517354308,0.0041379522713002135,3,right
0.787,-0.17788893376047965,0.9748771516180177,-0.09778407676999673,0.06031801215672869,0.06918290173332343,-0.006359897737356506,0.00817528974044264,-0.036500796589021854,0.004457993227787013,3,right
0.792,-0.1767052651340772,0.9750993587108464,-0.09516343709594463,0.041968159015175276,0.05841101975967934,-0.006889551716073809,0.008172975767873056,-0.036493045896327514,0.004461997012289151,3,right
0.7929999999999999,-0.17706623455507434,0.9762249574792501,-0.09518727519246119,-0.0350684477329704,0.013188818962866824,-0.009110568728155813,0.008245649194465986,-0.03678064199877297,0.0042952975267997046,3,right
0.7929999999999999,-0.1734752804596219,0.9787563397677622,-0.09683936444885183,-0.05341732218321608,0.002417483024184388,-0.00963987209887121,0.008158445354631115,-0.036436166689288535,0.004494749397268734,3,right
0.7959999999999999,-0.16814544894279843,0.9829446373014173,-0.09954835114043314,-0.03950571781676866,0.010583996758144056,-0.009238684834094742,0.008226576025634577,-0.036704420147138386,0.004339735950120315,3,right
0.797,-0.16272761883017628,0.9868122021210566,-0.10448322590543999,-0.04789797301474206,0.005657561280253391,-0.009480798138818,0.008189953281409708,-0.036559759614865475,0.004423491917351846,3,right
0.8009999999999999,-0.15784208280121337,0.9913912574068313,-0.11241021516280278,-0.04447884570745718,0.007664514107478454,-0.009381711680902273,0.008197332786830762,-0.03659290543872827,0.004402909741237316,3,right
0.802,-0.15339328404416563,0.9948694246196004,-0.11884255725673265,-0.04444043487466095,0.007687380022480625,-0.009381668720705269,0.008209772340076228,-0.03663099805165147,0.004384699461217169,3,right
0.807,-0.14615381246667059,0.9981514262710418,-0.12149265780891011,-0.046216993910375044,0.006644056361624977,-0.009431336588000128,0.008188269545467058,-0.036565067549926625,0.004416255462345478,3,right
0.807,-0.13718552703669173,1.0010066521794487,-0.1233183468596899,-0.04408593944636646,0.007895467717793304,-0.009371462118816586,0.008209856977630704,-0.03662678534042262,0.00438872164790613,3,right
0.8109999999999999,-0.12515496812939522,1.0004160772556525,-0.12353381090189529,-0.045750377278531165,0.006918218225789443,-0.009418780197744257,0.008194622820175019,-0.036585483765466435,0.004406063718786276,3,right
0.812,-0.11224648344444232,0.9990860756220832,-0.12440447234555303,-0.044838147477679266,0.0074533551406139285,-0.009391072627191712,0.008199148890335222,-0.036603754887629264,0.004395348586758707,3,right
0.816,-0.1026683469583207,0.9969100798229384,-0.12622974034058115,-0.04508111422821652,0.007311897645363368,-0.009402576191181053,0.008208024191878974,-0.036602846903555974,0.004408394814258311,3,right
0.8170000000000001,-0.09488685947873916,0.9939626465657262,-0.12690994181636164,-0.045255895861499834,0.007207283724091934,-0.00939986507528836,0.008185226592976519,-0.0365948741219235,0.004384436772209791,3,right
0.821,-0.09165340975379113,0.9918169398458767,-0.12920394402484872,-0.044921142849066675,0.007406260384062398,-0.009399727888593345,0.008218655651927743,-0.03660443475484261,0.004421542923970611,3,right
0.8220000000000001,-0.09117493457414343,0.9888557482821436,-0.1316248516840181,-0.04524622932897385,0.007213459069497058,-0.009401516962262185,0.008183790269086597,-0.03659733868944261,0.004380175974422142,3,right
0.826,-0.09016696543566863,0.98598699567098,-0.13099986803274047,-0.04498587683596312,0.007366276071123135,-0.009393930680061578,0.008203950049697508,-0.036601473541813465,0.004404066775930315,3,right
0.8270000000000001,-0.0924530626135327,0.9836064525861187,-0.12882155565413772,-0.04521547979054062,0.007235140609078874,-0.009414660014173931,0.008219591314761326,-0.036598165119502125,0.004428640872528575,3,right
0.8320000000000001,-0.0968634430587287,0.9829064406877692,-0.12641389895790955,-0.04495002296249364,0.007382633759418746,-0.00937477867685995,0.008148873187827102,-0.036603743218907546,0.004326223611266111,3,right
0.833,-0.09976997935784421,0.9830192425943676,-0.1256961162875056,-0.04528396215474206,0.007199041380834088,-0.009432473678902417,0.008280148516795267,-0.03659384501852192,0.004515922567309443,3,right
0.8370000000000001,-0.10146424898579982,0.9812061014582796,-0.12732955093997692,-0.04493950594816293,0.007387984234948325,-0.009371316295497478,0.008111709699591211,-0.03660712029400809,0.004271984421388746,3,right
0.8370000000000001,-0.10481420260205639,0.9812811172701473,-0.12665297387793328,-0.045120335005455155,0.007289499419156443,-0.009406102034653694,0.00825229151909649,-0.036595783968907745,0.004475821770536298,3,right
0.84,-0.11061058035787341,0.9817907800936155,-0.12599815479559143,-0.04536646891585121,0.0071516089844783845,-0.009438775117996031,0.008248246320411413,-0.0365953544412221,0.00447064621862908,3,right
0.841,-0.11445690405823405,0.9809024565865033,-0.12815657157457344,-0.044436908626991845,0.007668389791243855,-0.009300215642580822,0.00798109827856816,-0.03662008545878935,0.004080363306309346,3,right
0.846,-0.11628361875951788,0.9817883785901297,-0.1257901377080125,-0.046134244361072066,0.006725606745458138,-0.00955633750868343,0.008637972771178882,-0.0365598752488643,0.005039473081561052,3,right
0.847,-0.11975271149368256,0.9822260953130268,-0.12091486016650767,-0.04396059455948505,0.007932763664693861,-0.00922770419365353,0.0075487664373879125,-0.036659736969222693,0.0034490725353138276,3,right
0.85,-0.12117085346446294,0.9826358052571599,-0.11997890832099668,-0.04577311142655098,0.0069262493092044925,-0.009501895598426981,0.008985472873003374,-0.03652786819056815,0.0055470272959404696,3,right
0.851,-0.12150777332412391,0.983951558106725,-0.12080083920203798,-0.04573272924011812,0.006948362241827318,-0.009494970325349184,0.015014496022745853,-0.035972190356332534,0.014352866925162404,3,right
0.851,-0.12641592354576375,0.984098827930217,-0.12365289766615703,-0.04224759663542526,0.008884710531922645,-0.008970715643960899,0.0164512948718123,-0.035840103475387644,0.01645117899167964,3,right
0.855,-0.13150414931893178,0.9867077952949445,-0.12895580531652753,-0.050803944045808416,0.004131161220766757,-0.010258492695666487,0.015362022035228075,-0.03594033507660675,0.014860313824384108,3,right
0.856,-0.13595144177498336,0.9919365670420927,-0.13148789406497935,-0.03661897491910407,0.012011623304727857,-0.008123730204910086,0.016018739904572477,-0.03587974030797877,0.015819552987852564,3,right
0.86,-0.14019747006501904,0.993480089808316,-0.13089588614281247,-0.05532964583238871,0.0016169393748024126,-0.010939113512508734,0.015752168018937304,-0.035904666408433636,0.015429982543332945,3,right
0.86,-0.14180206546392687,0.9933083383493059,-0.12939768648370514,-0.13386946985432144,-0.04201645008751082,-0.022761057984787215,0.015747046488360394,-0.035904470391304,0.015422893321976659,3,right
0.861,-0.1425443918077315,0.9955312658246954,-0.12435636777383531,-0.15258298159093558,-0.052412705797466624,-0.025575890372298026,0.015889040772465647,-0.03589227623795612,0.015629779291660845,3,right
0.865,-0.1389212860419885,0.9969875733172588,-0.11949456639573103,-0.13839493879839232,-0.04453054327095192,-0.023441723918564424,0.015719358796817066,-0.035907059069706204,0.015382424602908768,3,right
0.865,-0.133915273887401,0.9961317922203186,-0.11939222343881477,-0.14695011751474246,-0.049283445377601966,-0.024729727749907192,0.015850867152247004,-0.035895297093283644,0.01557430481794559,3,right
0.87,-0.13191416066030415,0.9942190862190864,-0.12056828020439465,-0.1434751796843646,-0.047352738892968524,-0.02420349572016487,0.01578191561766915,-0.035902376485734605,0.015473192014995302,3,right
0.871,-0.1261756949023467,0.9918525689527958,-0.12251159135393416,-0.1434128617705432,-0.04731848749811912,-0.02420082484995227,0.015793068789308896,-0.03589904153378106,0.015490761182292414,3,right
0.8740000000000001,-0.11857822608945938,0.9893574184272058,-0.1264930133957599,-0.14525683032657027,-0.04834240546939564,-0.024468916393765625,0.015820279135391378,-0.03590049213158457,0.015528312736809817,3,right
0.875,-0.11227891136319418,0.9874519912020467,-0.13179228555098232,-0.14305186082324917,-0.04711791877553713,-0.02414635715546757,0.01577748565928112,-0.035899588698634015,0.015468491505222734,3,right
0.88,-0.10551524848352083,0.987610414368127,-0.13515094457541044,-0.14476271114037315,-0.048068178193713194,-0.024399858377528703,0.01581615305142857,-0.0358998837067748,0.01552283289072546,3,right
0.88,-0.10084281886750715,0.9870681298899076,-0.13287712680068262,-0.143860043806789,-0.04756628121285015,-0.024256082542832572,0.015795893097333417,-0.035901790491594386,0.01549322272906506,3,right
0.885,-0.0980752336647776,0.9840113879438077,-0.12840074359448767,-0.1440195453111977,-0.04765623114019847,-0.024305558127153973,0.015789334047448925,-0.035895227433342516,0.015487601170802662,3,right
0.885,-0.09558245852986448,0.9827244393048324,-0.12544886959676516,-0.14434964716884957,-0.04783731693737221,-0.024311392933199127,0.015824612666135395,-0.03590834507908461,0.015530083131706039,3,right
0.89,-0.09244094727910768,0.9812738178988877,-0.12504669860238266,-0.14382199418870129,-0.04754700465004428,-0.024285765091856107,0.01576712634600494,-0.03588923173853542,0.015459613448738519,3,right
0.89,-0.09240221952101675,0.9779483878227718,-0.127422808304496,-0.14430198908972985,-0.04781140961839403,-0.024315134996873673,0.015829309535113363,-0.03590951516929322,0.015536051544424756,3,right
0.894,-0.09590857180015247,0.9764221026672396,-0.12895458378792335,-0.1440378283578487,-0.04766464589050226,-0.024274999462283422,0.01579195583841161,-0.035897940102736864,0.015489808108912264,3,right
0.894,-0.09386730119377451,0.9740423058114075,-0.12869304017011257,-0.14399640310081446,-0.047645793315689945,-0.024348296767594646,0.015766821234397037,-0.03588726981070907,0.015460254946566063,3,right
0.899,-0.0919749788397238,0.9716068617644954,-0.12846483830852412,-0.1443554501916522,-0.04783573206822479,-0.024220578404033122,0.015888379041332376,-0.03593281583627965,0.015606453858371096,3,right
0.899,-0.09666257828226238,0.9725765936546991,-0.12774635447097693,-0.1437564850744464,-0.04751721094901608,-0.02440158246072153,0.01566087109489788,-0.03584857810409292,0.015332299773724082,3,right
0.9059999999999999,-0.10016995796106597,0.9739859420433311,-0.12539425777160917,-0.14440680301537495,-0.04786329967209391,-0.024210400953001594,0.015953457939616583,-0.03595666562284942,0.015684984165904116,3,right
0.907,-0.10312296133926337,0.975203620262684,-0.12309848325000093,-0.1440124004924579,-0.04765300691679615,-0.02431806860625795,0.015709021722166663,-0.03586649672197549,0.01539030948165853,3,right
0.909,-0.10839044117223086,0.9771672015982058,-0.12277561490658959,-0.14376474063228903,-0.047522901724388306,-0.024424743724682077,0.01571632107406795,-0.03586875344611938,0.015399254452455343,3,right
0.91,-0.1140568845405279,0.9786878168595043,-0.12170386188327467,-0.14499977908558642,-0.04817603220721736,-0.023980566812475484,0.01618012927183395,-0.03604118724133107,0.01595787544206336,3,right
0.914,-0.12096016885265107,0.9792447517712323,-0.12003066695019161,-0.1426820644311449,-0.046949718641045704,-0.024800211925750264,0.015039379270064547,-0.03561768138455297,0.014583792693403232,3,right
0.915,-0.127935683591692,0.9798213499157574,-0.12044740528452633,-0.1456643099363379,-0.048527701121273185,-0.023748651545233743,0.016930945702012812,-0.036319673886848924,0.016862260639323556,3,right
0.919,-0.13088583249587832,0.9803245792394203,-0.12105092864076585,-0.14317200113563844,-0.047209034031433804,-0.02462619842593708,0.014436032573859874,-0.03539393116602098,0.013857095643121225,3,right
0.919,-0.1316390166453795,0.9799165841162669,-0.12107505267508922,-0.14324919983147022,-0.04724980511043783,-0.024603818570008967,0.003963903248313586,-0.03150597791039171,0.0012427870960767884,3,right
0.92,-0.13411552401486093,0.9804430730388184,-0.12257409507095286,-0.14796979717222494,-0.04974739332562912,-0.022925959411080804,0.0014691962907021831,-0.030580527284626416,-0.0017620012145788794,3,right
0.924,-0.13704775035132963,0.981014228412447,-0.12490364847233587,-0.13635545032005544,-0.0436028204760715,-0.02704836673658035,0.003360539646265596,-0.03128220372212436,0.0005160592178374352,3,right
