time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
5.368,1.23,0.99,-0.59,6.02,-3.17,0.51,-1.15,-2.62,-5.46
5.386,1.24,1.1,-0.57,6.02,-3.17,0.51,-1.15,-2.62,-5.46
5.407,1.42,1.18,-0.73,6.02,-3.17,0.51,-1.15,-2.62,-5.46
5.409,1.42,1.18,-0.73,6.02,-3.17,0.51,-1.16,-2.44,-4.98
5.409,1.42,1.18,-0.73,12.96,0.11,-3.96,-1.16,-2.44,-4.98
5.421,1.42,1.18,-0.73,12.96,0.11,-3.96,-1.16,-2.44,-4.98
5.433,1.33,0.98,-0.49,12.96,0.11,-3.96,-1.16,-2.44,-4.98
5.446,1.12,0.93,-0.44,12.96,0.11,-3.96,-1.16,-2.44,-4.98
5.449,1.12,0.93,-0.44,12.96,0.11,-3.96,-0.43,-1.02,-3.39
5.451,1.12,0.93,-0.44,14.89,1.11,-4.56,-0.43,-1.02,-3.39
5.465,0.96,0.85,-0.28,14.89,1.11,-4.56,-0.43,-1.02,-3.39
5.481,0.96,0.85,-0.28,14.89,1.11,-4.56,-0.43,-1.02,-3.39
5.486,0.79,0.98,-0.46,14.89,1.11,-4.56,-0.43,-1.02,-3.39
5.487,0.79,0.98,-0.46,14.89,1.11,-4.56,0.39,0.25,-0.47
5.488,0.79,0.98,-0.46,14.79,1.15,-4.33,0.39,0.25,-0.47
5.509,-0.41,2.17,0.88,14.79,1.15,-4.33,0.39,0.25,-0.47
5.58,-0.41,2.17,0.88,5.84,3.94,1.6,0.39,0.25,-0.47
5.588,-1.6,2.42,0.39,5.84,3.94,1.6,0.39,0.25,-0.47
5.589,-1.6,2.42,0.39,5.84,3.94,1.6,0.25,0.19,1.72
5.591,-1.6,2.42,0.39,5.84,3.94,1.6,0.25,0.19,1.72
5.592,-1.22,0.75,-3.11,5.84,3.94,1.6,0.25,0.19,1.72
5.594,0.88,0.58,0.69,5.84,3.94,1.6,0.25,0.19,1.72
5.595,0.88,0.58,0.69,5.84,3.94,1.6,1.59,-1.81,0.6
5.597,0.88,0.58,0.69,-4.94,3.13,-4.91,1.59,-1.81,0.6
5.599,3.01,1.26,0.53,-4.94,3.13,-4.91,1.59,-1.81,0.6
5.6,3.01,1.26,0.53,-4.94,3.13,-4.91,1.59,-1.81,0.6
5.605,3.01,1.26,0.53,-5.48,3.03,-4.72,1.59,-1.81,0.6
5.608,0.54,0.83,-0.23,-5.48,3.03,-4.72,1.59,-1.81,0.6
5.609,0.54,0.83,-0.23,-5.48,3.03,-4.72,0.67,-3.21,2.39
5.645,-0.7,1.12,-1.25,-5.48,3.03,-4.72,0.67,-3.21,2.39
5.649,-0.7,1.12,-1.25,9.57,1.32,-0.73,0.67,-3.21,2.39
5.651,-1.44,1.13,-0.69,9.57,1.32,-0.73,0.67,-3.21,2.39
5.653,-1.44,1.13,-0.69,9.57,1.32,-0.73,1.07,3.05,0.35
5.688,-1.44,1.13,-0.69,9.57,1.32,-0.73,1.07,3.05,0.35
5.691,-0.77,0.6,-0.45,9.57,1.32,-0.73,1.07,3.05,0.35
5.694,-0.77,0.6,-0.45,-6.42,-0.73,-1.87,1.07,3.05,0.35
5.695,0.24,0.84,-0.19,-6.42,-0.73,-1.87,1.07,3.05,0.35
5.697,0.24,0.84,-0.19,-6.42,-0.73,-1.87,0.2,0.29,1.02
5.703,0.55,1.18,0.01,-6.42,-0.73,-1.87,0.2,0.29,1.02
5.726,0.55,1.18,0.01,-6.42,-0.73,-1.87,0.2,0.29,1.02
5.728,0.55,1.18,0.01,-6.83,-0.69,-1.78,0.2,0.29,1.02
5.729,0.2,0.98,-0.09,-6.83,-0.69,-1.78,0.2,0.29,1.02
5.73,0.2,0.98,-0.09,-6.83,-0.69,-1.78,0.14,-0.6,1.62
5.768,-0.16,0.89,-0.29,-6.83,-0.69,-1.78,0.14,-0.6,1.62
5.77,-0.18,0.95,-0.4,-6.83,-0.69,-1.78,0.14,-0.6,1.62
5.77,-0.18,0.95,-0.4,-6.83,-0.69,-1.78,0.45,1.35,1.24
5.771,-0.18,0.95,-0.4,0.92,0.92,1.45,0.45,1.35,1.24
5.779,-0.18,0.95,-0.4,0.92,0.92,1.45,0.45,1.35,1.24
5.782,0.05,0.89,-0.28,0.92,0.92,1.45,0.45,1.35,1.24
5.818,0.33,0.94,-0.2,0.92,0.92,1.45,0.45,1.35,1.24
5.821,0.33,0.94,-0.2,0.92,0.92,1.45,0.3,0.42,1.37
5.823,0.33,0.94,-0.2,-0.86,0.15,-0.13,0.3,0.42,1.37
5.825,0.39,1.04,-0.31,-0.86,0.15,-0.13,0.3,0.42,1.37
5.84,0.39,1.04,-0.31,-0.86,0.15,-0.13,0.3,0.42,1.37
5.846,0.34,1.04,-0.32,-0.86,0.15,-0.13,0.3,0.42,1.37
5.847,0.34,1.04,-0.32,-0.86,0.15,-0.13,0.32,0.19,1.35
5.847,0.34,1.04,-0.32,-1.33,0.27,-0.03,0.32,0.19,1.35
5.861,0.29,1.03,-0.28,-1.33,0.27,-0.03,0.32,0.19,1.35
5.881,0.26,1.07,-0.26,-1.33,0.27,-0.03,0.32,0.19,1.35
5.884,0.26,1.07,-0.26,-1.33,0.27,-0.03,0.28,0.66,1.05
5.886,0.26,1.07,-0.26,0.93,1.43,-0.09,0.28,0.66,1.05
5.914,0.26,1.07,-0.26,0.93,1.43,-0.09,0.28,0.66,1.05
5.917,0.18,1.1,-0.27,0.93,1.43,-0.09,0.28,0.66,1.05
5.92,-0.02,1.08,-0.27,0.93,1.43,-0.09,0.28,0.66,1.05
5.921,-0.02,1.08,-0.27,0.93,1.43,-0.09,0.14,0.68,0.99
5.922,-0.02,1.08,-0.27,-1.42,1.98,0.22,0.14,0.68,0.99
5.954,-0.14,0.99,-0.35,-1.42,1.98,0.22,0.14,0.68,0.99
5.96,-0.14,0.99,-0.35,-1.42,1.98,0.22,0.14,0.68,0.99
5.962,-0.12,1.16,-0.34,-1.42,1.98,0.22,0.14,0.68,0.99
5.964,-0.12,1.16,-0.34,-1.42,1.98,0.22,0.08,0.88,1.29
5.965,-0.12,1.16,-0.34,-1.92,2.11,0.14,0.08,0.88,1.29
5.98,-0.15,1.33,-0.29,-1.92,2.11,0.14,0.08,0.88,1.29
6.011,-0.16,1.25,-0.18,-1.92,2.11,0.14,0.08,0.88,1.29
6.014,-0.16,1.25,-0.18,-1.92,2.11,0.14,0.03,1.05,1.91
6.016,-0.16,1.25,-0.18,-5.31,3.12,-0.56,0.03,1.05,1.91
6.02,-0.16,1.25,-0.18,-5.31,3.12,-0.56,0.03,1.05,1.91
6.021,0.04,1.18,-0.11,-5.31,3.12,-0.56,0.03,1.05,1.91
6.042,0.29,1.2,-0.04,-5.31,3.12,-0.56,0.03,1.05,1.91
6.044,0.29,1.2,-0.04,-5.31,3.12,-0.56,-0.1,0.7,2.57
6.044,0.29,1.2,-0.04,-4.24,3.96,1.41,-0.1,0.7,2.57
6.06,0.41,1.41,-0.03,-4.24,3.96,1.41,-0.1,0.7,2.57
6.079,0.41,1.41,-0.03,-5.12,4.47,1.1,-0.1,0.7,2.57
6.082,0.22,1.71,-0.07,-5.12,4.47,1.1,-0.1,0.7,2.57
6.084,0.22,1.71,-0.07,-5.12,4.47,1.1,0.08,1.47,2.78
6.086,0.22,1.71,-0.07,-5.12,4.47,1.1,0.08,1.47,2.78
6.101,-0.4,1.65,-0.52,-5.12,4.47,1.1,0.08,1.47,2.78
6.128,-0.79,1.7,-0.78,-5.12,4.47,1.1,0.08,1.47,2.78
6.13,-0.79,1.7,-0.78,-5.12,4.47,1.1,0.7,4.1,2.36
6.13,-0.79,1.7,-0.78,-5.77,8.69,-0.64,0.7,4.1,2.36
6.137,-0.14,1.92,-0.82,-5.77,8.69,-0.64,0.7,4.1,2.36
6.139,-0.14,1.92,-0.82,-5.77,8.69,-0.64,0.7,4.1,2.36
6.158,0.86,1.49,-0.51,-5.77,8.69,-0.64,0.7,4.1,2.36
6.161,0.86,1.49,-0.51,-5.77,8.69,-0.64,0.61,2.6,2.9
6.163,0.86,1.49,-0.51,-7.51,10.45,-5.99,0.61,2.6,2.9
6.179,1.03,0.91,-0.4,-7.51,10.45,-5.99,0.61,2.6,2.9
6.198,0.71,0.64,-0.03,-7.51,10.45,-5.99,0.61,2.6,2.9
6.201,0.71,0.64,-0.03,-7.51,10.45,-5.99,0.07,-0.81,2.87
6.202,0.71,0.64,-0.03,-8,11.12,-5.62,0.07,-0.81,2.87
6.204,0.71,0.64,-0.03,-8,11.12,-5.62,0.07,-0.81,2.87
6.226,0.52,0.47,-0.22,-8,11.12,-5.62,0.07,-0.81,2.87
6.237,0.52,0.47,-0.22,-0.41,1.07,-0.87,0.07,-0.81,2.87
6.238,0.29,0.44,0.21,-0.41,1.07,-0.87,0.07,-0.81,2.87
6.239,0.29,0.44,0.21,-0.41,1.07,-0.87,-0.09,-0.03,0.24
6.266,0.11,0.23,-0.07,-0.41,1.07,-0.87,-0.09,-0.03,0.24
6.268,0.11,0.23,-0.07,-0.41,1.07,-0.87,-0.09,-0.03,0.24
6.278,0.12,0.14,-0.07,-0.41,1.07,-0.87,-0.09,-0.03,0.24
6.281,0.12,0.14,-0.07,-5.57,-3.42,1.36,-0.09,-0.03,0.24
6.283,0.12,0.14,-0.07,-5.57,-3.42,1.36,-0.17,0.2,-1.94
6.296,0.44,0.32,-0.01,-5.57,-3.42,1.36,-0.17,0.2,-1.94
6.324,0.62,0.49,-0.05,-5.57,-3.42,1.36,-0.17,0.2,-1.94
6.327,0.62,0.49,-0.05,-5.57,-3.42,1.36,0.02,-1.04,-2.94
6.328,0.62,0.49,-0.05,-4.68,-4.15,1.62,0.02,-1.04,-2.94
6.33,0.62,0.49,-0.05,-4.68,-4.15,1.62,0.02,-1.04,-2.94
6.336,0.55,0.49,-0.04,-4.68,-4.15,1.62,0.02,-1.04,-2.94
6.355,0.33,0.42,0.05,-4.68,-4.15,1.62,0.02,-1.04,-2.94
6.357,0.33,0.42,0.05,-4.68,-4.15,1.62,-0.02,-0.87,-3.94
6.36,0.33,0.42,0.05,0.05,-3.36,1.24,-0.02,-0.87,-3.94
6.374,0.28,0.45,-0.03,0.05,-3.36,1.24,-0.02,-0.87,-3.94
6.378,0.28,0.45,-0.03,0.05,-3.36,1.24,-0.02,-0.87,-3.94
6.394,0.36,0.56,-0.05,0.05,-3.36,1.24,-0.02,-0.87,-3.94
6.395,0.36,0.56,-0.05,0.05,-3.36,1.24,-0.09,-0.58,-4.7
6.396,0.36,0.56,-0.05,-0.47,-3.72,1.51,-0.09,-0.58,-4.7
6.424,0.52,0.62,-0.07,-0.47,-3.72,1.51,-0.09,-0.58,-4.7
6.434,0.83,0.78,-0.19,-0.47,-3.72,1.51,-0.09,-0.58,-4.7
6.436,0.83,0.78,-0.19,-0.47,-3.72,1.51,-0.04,-1.89,-5.03
6.437,0.83,0.78,-0.19,1.37,-4.2,1.67,-0.04,-1.89,-5.03
6.439,0.83,0.78,-0.19,1.37,-4.2,1.67,-0.04,-1.89,-5.03
6.469,1.06,0.95,-0.29,1.37,-4.2,1.67,-0.04,-1.89,-5.03
6.474,1.17,1.08,-0.29,1.37,-4.2,1.67,-0.04,-1.89,-5.03
6.476,1.17,1.08,-0.29,1.37,-4.2,1.67,-0.1,-3.13,-5.12
6.477,1.17,1.08,-0.29,7.99,-1.36,0.04,-0.1,-3.13,-5.12
6.506,1.53,1.22,-0.37,7.99,-1.36,0.04,-0.1,-3.13,-5.12
6.51,1.53,1.22,-0.37,7.99,-1.36,0.04,-0.1,-3.13,-5.12
6.566,1.53,1.22,-0.37,16.1,2.59,-1.78,-0.1,-3.13,-5.12
6.569,1.74,1.22,-0.4,16.1,2.59,-1.78,-0.1,-3.13,-5.12
6.57,1.74,1.22,-0.4,16.1,2.59,-1.78,-0.3,-2.54,-4.46
6.572,1.15,1.01,-0.24,16.1,2.59,-1.78,-0.3,-2.54,-4.46
6.573,1.15,1.01,-0.24,16.85,2.78,-1.84,-0.3,-2.54,-4.46
6.576,0.56,1.05,-0.36,16.85,2.78,-1.84,-0.3,-2.54,-4.46
6.577,0.56,1.05,-0.36,16.85,2.78,-1.84,-0.2,-0.34,-2.91
6.578,0.56,1.05,-0.36,16.85,2.78,-1.84,-0.2,-0.34,-2.91
6.58,0.61,0.99,-0.2,16.85,2.78,-1.84,-0.2,-0.34,-2.91
6.603,0.74,1.18,-0.34,16.85,2.78,-1.84,-0.2,-0.34,-2.91
6.605,0.74,1.18,-0.34,16.85,2.78,-1.84,0.16,-0.92,0.2
6.607,0.74,1.18,-0.34,9.72,1.21,-1.02,0.16,-0.92,0.2
6.643,-0.63,2.15,0.82,9.72,1.21,-1.02,0.16,-0.92,0.2
6.644,-0.63,2.15,0.82,9.72,1.21,-1.02,0.16,-0.92,0.2
6.645,-1.67,1.96,-0.69,9.72,1.21,-1.02,0.16,-0.92,0.2
6.646,-1.67,1.96,-0.69,9.72,1.21,-1.02,0.51,-1.12,1.5
6.647,-1.67,1.96,-0.69,-3.3,8.28,0.97,0.51,-1.12,1.5
6.651,0.2,0.97,-2.07,-3.3,8.28,0.97,0.51,-1.12,1.5
6.671,2.94,1.05,2.19,-3.3,8.28,0.97,0.51,-1.12,1.5
6.673,2.94,1.05,2.19,-3.3,8.28,0.97,1.08,-2.41,1.18
6.673,2.94,1.05,2.19,-3.49,8.14,1.18,1.08,-2.41,1.18
6.679,2.94,1.05,2.19,-3.49,8.14,1.18,1.08,-2.41,1.18
6.691,0.85,0.72,-0.77,-3.49,8.14,1.18,1.08,-2.41,1.18
6.73,0.85,0.72,-0.77,13.84,-0.18,-0.02,1.08,-2.41,1.18
6.734,-1.59,0.85,-0.73,13.84,-0.18,-0.02,1.08,-2.41,1.18
6.736,-1.59,0.85,-0.73,13.84,-0.18,-0.02,0.64,0.14,1.45
6.739,-0.96,1.05,-1.35,13.84,-0.18,-0.02,0.64,0.14,1.45
6.74,-0.96,1.05,-1.35,13.84,-0.18,-0.02,0.64,0.14,1.45
6.766,-0.5,0.82,-0.35,13.84,-0.18,-0.02,0.64,0.14,1.45
6.767,-0.5,0.82,-0.35,13.84,-0.18,-0.02,0.75,2.17,0.69
6.768,-0.5,0.82,-0.35,-9.45,-0.2,-5.42,0.75,2.17,0.69
6.769,0.29,0.92,-0.16,-9.45,-0.2,-5.42,0.75,2.17,0.69
6.789,0.51,1.07,-0.03,-9.45,-0.2,-5.42,0.75,2.17,0.69
6.79,0.51,1.07,-0.03,-9.71,-0.23,-5.4,0.75,2.17,0.69
6.791,0.51,1.07,-0.03,-9.71,-0.23,-5.4,-0.18,-0.92,1.45
6.802,0.51,1.07,-0.03,-9.71,-0.23,-5.4,-0.18,-0.92,1.45
6.852,-0.09,1.02,-0.18,-9.71,-0.23,-5.4,-0.18,-0.92,1.45
6.855,-0.21,0.93,-0.28,-9.71,-0.23,-5.4,-0.18,-0.92,1.45
6.857,-0.21,0.93,-0.28,-9.71,-0.23,-5.4,0.17,0.63,1.3
6.859,-0.21,0.93,-0.28,2.03,0.69,1.37,0.17,0.63,1.3
6.86,-0.15,0.91,-0.33,2.03,0.69,1.37,0.17,0.63,1.3
6.865,-0.15,0.91,-0.33,2.03,0.69,1.37,0.17,0.63,1.3
6.869,0.12,0.93,-0.28,2.03,0.69,1.37,0.17,0.63,1.3
6.871,0.12,0.93,-0.28,2.03,0.69,1.37,0.22,0.71,1.29
6.872,0.12,0.93,-0.28,-1.6,-0.01,-0.25,0.22,0.71,1.29
6.889,0.29,0.95,-0.2,-1.6,-0.01,-0.25,0.22,0.71,1.29
6.917,0.29,0.96,-0.21,-1.6,-0.01,-0.25,0.22,0.71,1.29
6.92,0.29,0.96,-0.21,-1.6,-0.01,-0.25,0.12,0.08,1.43
6.92,0.29,0.96,-0.21,-2.08,0.06,-0.21,0.12,0.08,1.43
6.921,0.29,0.96,-0.21,-2.08,0.06,-0.21,0.12,0.08,1.43
6.955,0.21,0.97,-0.31,-2.08,0.06,-0.21,0.12,0.08,1.43
6.957,0.24,0.99,-0.3,-2.08,0.06,-0.21,0.12,0.08,1.43
6.958,0.24,0.99,-0.3,-2.08,0.06,-0.21,0.25,0.53,1.22
6.959,0.24,0.99,-0.3,0.79,0.52,0.38,0.25,0.53,1.22
6.967,0.28,0.98,-0.3,0.79,0.52,0.38,0.25,0.53,1.22
6.978,0.28,0.98,-0.3,0.79,0.52,0.38,0.25,0.53,1.22
6.987,0.29,1.01,-0.3,0.79,0.52,0.38,0.25,0.53,1.22
6.989,0.29,1.01,-0.3,0.79,0.52,0.38,0.13,0.41,1.11
6.99,0.29,1.01,-0.3,0.39,0.95,-0.2,0.13,0.41,1.11
7.008,0.25,1.06,-0.32,0.39,0.95,-0.2,0.13,0.41,1.11
7.034,0.25,1.06,-0.32,-0.05,1.04,-0.24,0.13,0.41,1.11
7.037,0.03,1.05,-0.27,-0.05,1.04,-0.24,0.13,0.41,1.11
7.037,0.03,1.05,-0.27,-0.05,1.04,-0.24,0.06,0.73,1.05
7.071,0.03,1.05,-0.27,-0.05,1.04,-0.24,0.06,0.73,1.05
7.073,-0.11,1.02,-0.3,-0.05,1.04,-0.24,0.06,0.73,1.05
7.074,0.01,1.14,-0.33,-0.05,1.04,-0.24,0.06,0.73,1.05
7.077,0.01,1.14,-0.33,-0.05,1.04,-0.24,0.06,1.23,1.22
7.079,0.01,1.14,-0.33,-2.64,1.61,-0.3,0.06,1.23,1.22
7.086,0.13,1.27,-0.28,-2.64,1.61,-0.3,0.06,1.23,1.22
7.108,0.13,1.27,-0.28,-2.64,1.61,-0.3,0.06,1.23,1.22
7.11,0,1.19,-0.22,-2.64,1.61,-0.3,0.06,1.23,1.22
7.111,0,1.19,-0.22,-2.64,1.61,-0.3,0,1.12,1.8
7.112,0,1.19,-0.22,-3.41,3.38,-0.27,0,1.12,1.8
7.125,0.03,1.17,-0.16,-3.41,3.38,-0.27,0,1.12,1.8
7.147,0.03,1.17,-0.16,-4.19,3.7,-0.48,0,1.12,1.8
7.149,0.12,1.25,-0.14,-4.19,3.7,-0.48,0,1.12,1.8
7.149,0.12,1.25,-0.14,-4.19,3.7,-0.48,-0.1,1.1,2.32
7.158,0.12,1.25,-0.14,-4.19,3.7,-0.48,-0.1,1.1,2.32
7.166,0.17,1.49,-0.19,-4.19,3.7,-0.48,-0.1,1.1,2.32
7.185,0.19,1.65,-0.2,-4.19,3.7,-0.48,-0.1,1.1,2.32
7.188,0.19,1.65,-0.2,-4.19,3.7,-0.48,-0.12,1.25,2.71
7.189,0.19,1.65,-0.2,-4.45,5.12,0.33,-0.12,1.25,2.71
7.211,-0.06,1.81,-0.36,-4.45,5.12,0.33,-0.12,1.25,2.71
7.218,-0.06,1.81,-0.36,-4.45,5.12,0.33,-0.12,1.25,2.71
7.225,-0.06,1.81,-0.36,-7.35,9.32,-2.69,-0.12,1.25,2.71
7.226,-0.45,1.58,-0.69,-7.35,9.32,-2.69,-0.12,1.25,2.71
7.226,-0.45,1.58,-0.69,-7.35,9.32,-2.69,0.27,2.75,2.61
7.248,-0.19,1.24,-0.58,-7.35,9.32,-2.69,0.27,2.75,2.61
7.263,0.61,1.35,-0.36,-7.35,9.32,-2.69,0.27,2.75,2.61
7.265,0.61,1.35,-0.36,-7.35,9.32,-2.69,0.55,2.83,2.23
7.266,0.61,1.35,-0.36,-7.94,9.77,-3.23,0.55,2.83,2.23
7.278,0.61,1.35,-0.36,-7.94,9.77,-3.23,0.55,2.83,2.23
7.283,1.06,1.15,-0.3,-7.94,9.77,-3.23,0.55,2.83,2.23
7.303,0.79,0.65,-0.3,-7.94,9.77,-3.23,0.55,2.83,2.23
7.305,0.79,0.65,-0.3,-7.94,9.77,-3.23,0.31,0.71,2.11
7.307,0.79,0.65,-0.3,-2.6,6.02,-3.26,0.31,0.71,2.11
7.332,0.54,0.35,-0.12,-2.6,6.02,-3.26,0.31,0.71,2.11
7.338,0.54,0.35,-0.12,-2.6,6.02,-3.26,0.31,0.71,2.11
7.343,0.39,0.44,0,-2.6,6.02,-3.26,0.31,0.71,2.11
7.346,0.39,0.44,0,-2.6,6.02,-3.26,0.28,0.88,0.33
7.348,0.39,0.44,0,-1.88,-1.37,-0.73,0.28,0.88,0.33
7.377,0.16,0.45,0.2,-1.88,-1.37,-0.73,0.28,0.88,0.33
7.383,-0.05,0.24,-0.13,-1.88,-1.37,-0.73,0.28,0.88,0.33
7.383,-0.05,0.24,-0.13,-1.57,-1.69,-0.94,0.28,0.88,0.33
7.384,-0.05,0.24,-0.13,-1.57,-1.69,-0.94,0.21,0.95,-1.24
7.398,-0.05,0.24,-0.13,-1.57,-1.69,-0.94,0.21,0.95,-1.24
7.402,-0.05,0.29,-0.12,-1.57,-1.69,-0.94,0.21,0.95,-1.24
7.427,0.26,0.56,-0.04,-1.57,-1.69,-0.94,0.21,0.95,-1.24
7.429,0.26,0.56,-0.04,-1.57,-1.69,-0.94,0.5,-0.9,-2.16
7.431,0.26,0.56,-0.04,-6.27,-3.73,0.61,0.5,-0.9,-2.16
7.442,0.58,0.71,-0.06,-6.27,-3.73,0.61,0.5,-0.9,-2.16
7.468,0.58,0.71,-0.06,-6.27,-3.73,0.61,0.5,-0.9,-2.16
7.47,0.7,0.67,0.03,-6.27,-3.73,0.61,0.5,-0.9,-2.16
7.471,0.7,0.67,0.03,-6.27,-3.73,0.61,0.39,-2.7,-2.71
7.471,0.7,0.67,0.03,-0.54,-1.2,1.26,0.39,-2.7,-2.71
7.481,0.61,0.6,0.08,-0.54,-1.2,1.26,0.39,-2.7,-2.71
7.5,0.54,0.66,-0.02,-0.54,-1.2,1.26,0.39,-2.7,-2.71
7.502,0.54,0.66,-0.02,-0.54,-1.2,1.26,0.03,-2.4,-3.64
7.502,0.54,0.66,-0.02,0.75,-1.87,1.71,0.03,-2.4,-3.64
7.522,0.54,0.66,-0.02,0.75,-1.87,1.71,0.03,-2.4,-3.64
7.528,0.65,0.71,-0.1,0.75,-1.87,1.71,0.03,-2.4,-3.64
7.575,0.65,0.71,-0.1,3.15,-2.32,2.03,0.03,-2.4,-3.64
7.576,0.69,0.73,-0.07,3.15,-2.32,2.03,0.03,-2.4,-3.64
7.578,0.69,0.73,-0.07,3.15,-2.32,2.03,-0.1,-2.01,-4.25
7.578,0.71,0.87,-0.1,3.15,-2.32,2.03,-0.1,-2.01,-4.25
7.579,0.71,0.87,-0.1,3.15,-2.32,2.03,-0.1,-2.01,-4.25
7.58,0.83,1.02,-0.12,3.15,-2.32,2.03,-0.1,-2.01,-4.25
7.581,0.83,1.02,-0.12,3.15,-2.32,2.03,-0.09,-1.86,-4.67
7.581,0.83,1.02,-0.12,6.24,-0.52,1.29,-0.09,-1.86,-4.67
7.599,0.97,1.05,-0.09,6.24,-0.52,1.29,-0.09,-1.86,-4.67
7.623,1.07,1.09,-0.05,6.24,-0.52,1.29,-0.09,-1.86,-4.67
7.624,1.07,1.09,-0.05,6.24,-0.52,1.29,-0.14,-1.12,-4.73
7.624,1.07,1.09,-0.05,7.92,-0.55,1.23,-0.14,-1.12,-4.73
7.638,1.07,1.09,-0.05,7.92,-0.55,1.23,-0.14,-1.12,-4.73
7.64,1.11,1.18,-0.09,7.92,-0.55,1.23,-0.14,-1.12,-4.73
7.658,0.91,1.13,-0.12,7.92,-0.55,1.23,-0.14,-1.12,-4.73
7.659,0.91,1.13,-0.12,7.92,-0.55,1.23,-0.18,-0.38,-4.06
7.659,0.91,1.13,-0.12,12.24,1.91,1.32,-0.18,-0.38,-4.06
7.681,0.57,1.02,-0.2,12.24,1.91,1.32,-0.18,-0.38,-4.06
7.7,0.57,1.02,-0.2,12.24,1.91,1.32,-0.18,-0.38,-4.06
7.703,0.6,0.89,-0.03,12.24,1.91,1.32,-0.18,-0.38,-4.06
7.705,0.6,0.89,-0.03,12.24,1.91,1.32,-0.29,-0.88,-2.11
7.707,0.6,0.89,-0.03,9.39,1.15,0.74,-0.29,-0.88,-2.11
7.722,0.83,0.82,-0.03,9.39,1.15,0.74,-0.29,-0.88,-2.11
7.761,0.76,0.92,-0.36,9.39,1.15,0.74,-0.29,-0.88,-2.11
7.763,0.76,0.92,-0.36,9.39,1.15,0.74,-0.21,-2.37,0.63
7.763,0.76,0.92,-0.36,9.17,1.05,0.42,-0.21,-2.37,0.63
7.764,0.76,0.92,-0.36,9.17,1.05,0.42,-0.21,-2.37,0.63
7.765,-0.09,1.59,-0.79,9.17,1.05,0.42,-0.21,-2.37,0.63
7.777,-1.36,2.38,-0.78,9.17,1.05,0.42,-0.21,-2.37,0.63
7.778,-1.36,2.38,-0.78,9.17,1.05,0.42,0.72,-1.58,1.26
7.778,-1.36,2.38,-0.78,6.79,1.89,-2.17,0.72,-1.58,1.26
7.797,0.55,1.82,-0.98,6.79,1.89,-2.17,0.72,-1.58,1.26
7.831,2.65,0.55,2.37,6.79,1.89,-2.17,0.72,-1.58,1.26
7.836,2.65,0.55,2.37,6.79,1.89,-2.17,0.65,-1.18,0.61
7.837,2.65,0.55,2.37,7.64,6.46,3.77,0.65,-1.18,0.61
7.838,2.65,0.55,2.37,7.64,6.46,3.77,0.65,-1.18,0.61
7.838,-0.23,0.62,-0.45,7.64,6.46,3.77,0.65,-1.18,0.61
7.863,-0.23,0.62,-0.45,7.26,6.37,4.02,0.65,-1.18,0.61
7.865,-2.61,0.93,-0.89,7.26,6.37,4.02,0.65,-1.18,0.61
7.866,-2.61,0.93,-0.89,7.26,6.37,4.02,0.63,1.56,0.4
7.875,-1.11,0.85,-1.99,7.26,6.37,4.02,0.63,1.56,0.4
7.878,-1.11,0.85,-1.99,7.26,6.37,4.02,0.63,1.56,0.4
7.897,0.14,0.63,-0.57,7.26,6.37,4.02,0.63,1.56,0.4
7.9,0.14,0.63,-0.57,7.26,6.37,4.02,0.97,0.31,1
7.902,0.14,0.63,-0.57,-11.83,-1.26,-8.33,0.97,0.31,1
7.932,1.24,1.04,0.17,-11.83,-1.26,-8.33,0.97,0.31,1
7.936,1.24,1.04,0.17,7.74,-0.05,0.58,0.97,0.31,1
7.937,0.82,1.12,-0.13,7.74,-0.05,0.58,0.97,0.31,1
7.938,0.82,1.12,-0.13,7.74,-0.05,0.58,-0.35,-1.76,1.48
7.939,0.82,1.12,-0.13,7.74,-0.05,0.58,-0.35,-1.76,1.48
7.965,-0.55,1.04,-0.25,7.74,-0.05,0.58,-0.35,-1.76,1.48
7.974,-0.33,1.04,-0.36,7.74,-0.05,0.58,-0.35,-1.76,1.48
7.975,-0.33,1.04,-0.36,7.74,-0.05,0.58,0.24,2.16,0.43
7.976,-0.33,1.04,-0.36,7.26,-0.03,0.68,0.24,2.16,0.43
8.006,-0.19,0.9,-0.2,7.26,-0.03,0.68,0.24,2.16,0.43
8.009,-0.19,0.9,-0.2,7.26,-0.03,0.68,0.24,2.16,0.43
8.014,-0.19,0.9,-0.2,-3.68,0.57,-0.21,0.24,2.16,0.43
8.016,0.04,0.94,-0.19,-3.68,0.57,-0.21,0.24,2.16,0.43
8.017,0.04,0.94,-0.19,-3.68,0.57,-0.21,0.08,0.88,0.61
8.042,0.08,0.97,-0.26,-3.68,0.57,-0.21,0.08,0.88,0.61
8.053,-0.03,0.93,-0.32,-3.68,0.57,-0.21,0.08,0.88,0.61
8.054,-0.03,0.93,-0.32,-3.68,0.57,-0.21,0.03,-0.05,0.81
8.056,-0.03,0.93,-0.32,-0.19,0.11,-0.06,0.03,-0.05,0.81
8.058,-0.03,0.93,-0.32,-0.19,0.11,-0.06,0.03,-0.05,0.81
8.074,-0.1,0.94,-0.28,-0.19,0.11,-0.06,0.03,-0.05,0.81
8.093,0,1,-0.32,-0.19,0.11,-0.06,0.03,-0.05,0.81
