time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,subject_number,foot
7.785,-0.11367721570817882,0.9643103585483166,-0.28753271396082025,-2.657062716404851,-0.7536254423278994,-0.8381088147728151,-0.12484306267843903,-0.10089483254292617,-0.5065431450696627,3,right
7.785,-0.08722465212428623,0.9602677896182837,-0.3028534176583366,-2.6593921192484675,-0.7608184980950414,-0.8459774022224084,-0.12490601181323317,-0.10109829399015538,-0.5061440626875657,3,right
7.79,-0.05922383126625031,0.9595215863788433,-0.31976319903026534,-2.6553543183772463,-0.7483628195231606,-0.8323510893630932,-0.12493825569897614,-0.1018212224189218,-0.5060307309619954,3,right
7.791,-0.030327191102557258,0.9585543546230548,-0.33447672089612823,-2.6587294712554774,-0.7597531902444512,-0.8448003555071765,-0.1248298626216626,-0.10005540230329257,-0.5065094809333233,3,right
7.794,-0.0032728111256829203,0.9560542629354374,-0.3451843393817545,-2.6566892161908973,-0.7522762525729749,-0.83663477564567,-0.12498349586227649,-0.10266319033583644,-0.5058463789686505,3,right
7.795,0.02019501560673204,0.9551934241703681,-0.3549500490638688,-2.658205419425581,-0.7559933778201712,-0.8407129646644991,-0.12483043062661281,-0.09991831766063737,-0.5064854793852026,3,right
7.8,0.04435078204757412,0.9545842041535348,-0.35878036595402557,-2.6556074119878206,-0.7541255968417828,-0.8385954164752651,-0.12491896036887644,-0.10150475295389395,-0.5061155064052747,3,right
7.801,0.06698117341382753,0.9534122079080499,-0.3576285495193951,-2.660717568938728,-0.7563544304486663,-0.8411971135821557,-0.12497163243545392,-0.10279420827500949,-0.5059467798076558,3,right
7.805,0.08725403683538425,0.952428676567971,-0.3543123352570129,-2.652901982028127,-0.752555466991742,-0.8367958418774302,-0.1247105751004991,-0.09704965149963188,-0.506879588458317,3,right
7.806,0.10557192904424881,0.951074892743672,-0.34545225096530313,-2.6614883806838203,-0.7572341584594651,-0.8421777951369833,-0.1251961623244085,-0.10770822549118304,-0.5051400719370163,3,right
7.809,0.11666743947035242,0.9495042295276553,-0.3344651269932729,-2.6565301799711323,-0.7545369728598745,-0.839074543919839,-0.12457468690630676,-0.09402830930325672,-0.5073611745059932,3,right
7.809,0.12494455805375544,0.9492943913898365,-0.3231931418272387,-2.651689739122401,-0.7508195901112342,-0.8348730334962462,-0.12509251929737436,-0.10544642276701022,-0.505512645219244,3,right
7.814,0.12879760036795895,0.9489786574050303,-0.31169213370364995,-2.6721398664331,-0.7652876443984002,-0.8512872457041314,-0.12507626251938528,-0.10512828822639927,-0.5055783032486656,3,right
7.815,0.12543703743467988,0.948230117451798,-0.300564198759371,-2.634252145606636,-0.7385446189166864,-0.8209426964427651,-0.12409889500415437,-0.08339333002633253,-0.5090360867397321,3,right
7.819,0.12163236807255583,0.9472044336337351,-0.2876605950805218,-2.682947901537939,-0.7730013005882446,-0.8600362124380957,-0.1265025198564338,-0.1368232184106287,-0.5005256695278952,3,right
7.821000000000001,0.11051334775638198,0.943930050045708,-0.2700968844928796,-2.642274085305168,-0.744179925478273,-0.8273370598284628,-0.12251777075237384,-0.04823322995117059,-0.5146349165980089,3,right
7.8229999999999995,0.09745260316776241,0.942112661431395,-0.2547297647888471,-2.643312779861817,-0.7448193159106189,-0.8280709144052995,-0.12777264240428915,-0.16508241374903482,-0.4960289597403162,3,right
7.824,0.09221138411901905,0.9419465150333626,-0.25042589192794595,-2.7211297835536215,-0.8003871539201604,-0.8910846338656551,-0.14982780162639686,-0.6555176011054046,-0.4179693771918245,3,right
7.825,0.07984535406282224,0.9410159937666102,-0.23794789700487526,-2.5299157055851653,-0.6639072894872325,-0.7363069220716831,-0.1550811432198392,-0.7723663969265404,-0.3993694195821035,3,right
7.827999999999999,0.05915306399976279,0.9401514428626527,-0.21173250021466533,-2.84695745210597,-0.8902168034249932,-0.9929618664576767,-0.1510985117623261,-0.6837783458097753,-0.4134692467493183,3,right
7.829,0.04743247610276821,0.9387340652701912,-0.19905372083539646,-2.4287709292348127,-0.5916713123852542,-0.6543817087896506,-0.15350112901940882,-0.73720301855533,-0.4049667358480762,3,right
7.83,0.043553324903759474,0.9376092986763671,-0.19607057965159475,-0.6732327827914589,0.6617522395771627,0.7670582328080551,-0.15252164555645567,-0.7154777495939386,-0.408424660985876,3,right
7.832999999999999,0.03177835837211452,0.9371670264433103,-0.18651437368919255,-0.25503186365812097,0.9603650931688577,1.1057204886269092,-0.15251219640438485,-0.7151461707563672,-0.4084757249485077,3,right
7.835,0.01773882072984466,0.9399682849630274,-0.17950237477527708,-0.5721002094996589,0.7339555253726576,0.8489469130403686,-0.15301846268514774,-0.7265776332330987,-0.4066595611433882,3,right
7.8389999999999995,0.010911371981931137,0.9447531485033607,-0.17852886029714263,-0.38085301002046934,0.8705039142572515,1.0037964167374758,-0.1524107598805877,-0.7128918284705614,-0.4088341433502023,3,right
7.84,0.003229947629519185,0.9476294405321672,-0.17982478011963826,-0.45869884305728137,0.8149794171168454,0.9408596855877688,-0.15288621645259037,-0.7235391930689026,-0.4071412390354603,3,right
7.845,-0.004297995687592943,0.9527763719870455,-0.18159090978741532,-0.45972928448399564,0.8141142182176769,0.9398147743255583,-0.15262298307466668,-0.7178313781257535,-0.4080528389714358,3,right
7.846,-0.009134660555249152,0.9587727763382919,-0.18099879679987108,-0.41902424578630104,0.8433654854916688,0.9730763371441056,-0.15269926627937278,-0.719056984325304,-0.4078472276222807,3,right
7.848,-0.01300085225985512,0.9623755209215499,-0.18099798198970032,-0.4678048764025384,0.8083481491195263,0.9332773530114894,-0.1527376898118647,-0.7207224956868006,-0.4076005237580347,3,right
7.848,-0.013955199547479116,0.9670045438546142,-0.18214709994757253,-0.42978065389461606,0.8355792815426148,0.9641963626412695,-0.15265612200838452,-0.7179134241185599,-0.4080249430700884,3,right
7.853,-0.016605265484753398,0.9723868550202955,-0.18193936509567749,-0.45038805612038235,0.8210253496827392,0.9477656231391454,-0.15273781284318538,-0.7205233391185353,-0.4076276779133384,3,right
7.854,-0.0237235534772944,0.977336432768791,-0.1830559848375979,-0.44543691753274206,0.8240434408538257,0.950949827542958,-0.15266316566897778,-0.7188704387195729,-0.4078908856670356,3,right
7.858,-0.02975919359654676,0.9816408060102407,-0.18636023989241535,-0.44044471937796814,0.8284994843204836,0.9564135951918112,-0.1527500439679565,-0.719330465580691,-0.40778404248988487,3,right
7.859,-0.03404163030967268,0.9834722462379478,-0.18842363098188125,-0.4493114396341533,0.8210741107770794,0.9474895544559676,-0.15262573691674713,-0.7199298759055638,-0.40776555132723447,3,right
7.8629999999999995,-0.04026406857749352,0.9833278500662389,-0.18957624443710858,-0.440916034410136,0.8279411880395227,0.9556782307235011,-0.15279339694117589,-0.7186403380996319,-0.4078560147499252,3,right
7.865,-0.045554915806946594,0.9836558444097561,-0.19114748830306802,-0.4468411197718597,0.8237182368672593,0.9508928423530852,-0.15261798807117843,-0.7200886170066669,-0.407747892399811,3,right
7.867000000000001,-0.05086746462971925,0.9848804783120972,-0.1905173351595862,-0.4434380927641227,0.8245289229790953,0.9510679994805318,-0.15271409229669253,-0.7191355356481791,-0.40782884365356564,3,right
7.867999999999999,-0.058972346366059726,0.9862631909782853,-0.18850139973918012,-0.4453058953009553,0.8268957322472492,0.9554525715273772,-0.15282289533451815,-0.7188899169836896,-0.4078070248498793,3,right
7.872999999999999,-0.0627742469111589,0.9869049229016429,-0.1863238640582347,-0.44393477760997346,0.8223541544546307,0.9477655547756619,-0.152389239632315,-0.7209076016297842,-0.40775261951788544,3,right
7.872999999999999,-0.06430634925839102,0.9854344727962004,-0.1832965250967994,-0.4451328420195756,0.8273838610701607,0.9561733950717628,-0.1531857553668714,-0.7169956516800837,-0.40788053000633406,3,right
7.877999999999999,-0.06716448779019799,0.984591167938532,-0.18212266404359034,-0.44485675498462224,0.8241805063468368,0.9509786394446985,-0.1521647580701619,-0.7220569421018577,-0.4077102734162258,3,right
7.879,-0.06648510694158541,0.9842372489798504,-0.18255265656767503,-0.44255732450247076,0.8228911213995278,0.948168960184348,-0.1530163676886993,-0.7178160903106987,-0.40785478534853403,3,right
7.882999999999999,-0.06370897459436389,0.9790916189198573,-0.1828390810038913,-0.4492465479953547,0.8309435016139171,0.9631957645258798,-0.15299615698263513,-0.7179901319087678,-0.4078416324554084,3,right
7.8839999999999995,-0.05753871367727258,0.9735785113652775,-0.1839331496933736,-0.43745017172468925,0.8155754658239538,0.9348361928228275,-0.1513631460757593,-0.7258821267236519,-0.40759657405447763,3,right
7.888999999999999,-0.04626467771174455,0.9699989993313755,-0.18550916438174714,-0.4524609034925848,0.8354062442905468,0.9713609035151087,-0.15537339588222301,-0.7064148027945545,-0.4082096168001438,3,right
7.89,-0.03218431991966911,0.9632634601180364,-0.18504738911858973,-0.439984090132989,0.8188111970661998,0.9408250081762853,-0.14872529267293683,-0.7387104293404401,-0.407190604520304,3,right
7.893,-0.022035202258145793,0.958802349718943,-0.18359824893043541,-0.44011059815857057,0.8194114866700909,0.9418196886891864,-0.15749377799878203,-0.696111336569459,-0.4085345937406436,3,right
7.893,-0.01920109336030794,0.958752050407232,-0.18492420169087748,-0.4645951545626914,0.8505587339917489,0.9994906266822504,-0.19430625366825888,-0.5173863351632138,-0.41416593165014315,3,right
7.894,-0.01356481622956398,0.9571461688108367,-0.18714901228966135,-0.4046630888353373,0.7738249403616895,0.8575472217381448,-0.20307463728746286,-0.47479472190372335,-0.4155082329409361,3,right
7.897,-0.008442711292403558,0.956195642180082,-0.19019752980495322,-0.5039702418518496,0.9010984087599623,1.0929431121931592,-0.1964266440204656,-0.5070822557167397,-0.4144910475241611,3,right
7.898,-0.009406143962592917,0.9575481595939976,-0.1938172878322894,-0.3729884415311102,0.7332223532986948,0.7824568941363539,-0.20043693602440676,-0.4876118554011879,-0.41510478259724687,3,right
7.898,-0.009910451770449982,0.9576996045543271,-0.19665441265120698,0.17708005840832225,0.028771628019811257,-0.5206634822927426,-0.19880355939192718,-0.49553069040727216,-0.41485367105282667,3,right
7.902,-0.01281913523410752,0.9560748585477371,-0.1999904514731431,0.3080880278782648,-0.1390852585813491,-0.8311313354378179,-0.19878413511393805,-0.4956469800682009,-0.4148535453471247,3,right
7.903,-0.01823522718915767,0.9560215533949206,-0.2020029718100684,0.20875595633740016,-0.011831790128700448,-0.5957428301189751,-0.1996346175358808,-0.4914889343392702,-0.4149793764660398,3,right
7.907,-0.021090811684399823,0.9587049414551192,-0.20495885297976238,0.26866522921811004,-0.08857609097362945,-0.7377380125230053,-0.19861474221495248,-0.4964677653269006,-0.4148277251529865,3,right
